ตัวย่อหุ้น,หัวข้อข่าว,วันที่เขียนข่าว,เนื้อหาข่าว,วิเคราะห์,เหตุผล
TCAP,TCAP ประกาศจ่ายปันผลครึ่งปีหลัง 2.00 บาท/หุ้น รวมจ่ายปันผลปี 66 ทั้งสิ้น 3.20 บาท/หุ้น,,"TCAP แถลงผลการดำเนินงานปี 2566 มีกำไรสุทธิส่วนที่เป็นของบริษัทฯ 6,603 ล้านบาท เติบโต 26.5% จากปีก่อน พร้อมมติเพิ่มจ่ายปันผลสำหรับงวดครึ่งปีหลังปี 66 อีก 2.00 บาทต่อหุ้น ส่งผลให้ปันผลทั้งปี 2566 อยู่ที่ 3.20 บาทต่อหุ้น (จ่ายระหว่างกาล 1.20 บาท/หุ้น และจ่ายงวดครึ่งปีหลังอีก 2.00 บาท/หุ้น) กำหนดจ่าย 27 มี.ค. 2567",บวก,อัตราปันผลรวมทั้งปี 3.20 บาท/หุ้น (Dividend Yield ประมาณ 7% บนราคาหุ้นเฉลี่ย) เป็นหนึ่งในปัจจัยดึงดูดนักลงทุนสายปันผล และสะท้อนกระแสเงินสดที่แข็งแกร่งของ TCAP ส่งผลเชิงบวกต่อความเชื่อมั่นว่าบริษัทบริหารผลประกอบการและสภาพคล่องได้ดีแม้ภาวะเศรษฐกิจคลุมเครือ
TEGH,TEGH คาดไตรมาส 2/68 โตต่อเนื่อง หนุนงานโครงการขยาย Data Center,,TEGH คาดว่ารายได้ไตรมาส 2/2568 จะโตต่อเนื่อง เนื่องจากมีงานระบบไฟสำรอง (UPS/PDU) จากพันธมิตรธนาคาร–สถาบันการเงินเพิ่มขึ้น ส่งผลให้ยอด Backlg หนุนกำไรระยะกลาง,บวก,Demand งานระบบไฟสำรองจากภาคสถาบันการเงินที่เพิ่มขึ้น ช่วยหนุน Backlg และคาดว่ารายได้–กำไรจะเติบโตต่อเนื่องใน Q2/2568
TEGH,TEGH จับมือพันธมิตรญี่ปุ่น เปิดตัวผลิตภัณฑ์ใหม่ Gen IV Mdular UPS,,TEGH ร่วมมือกับพันธมิตรจากญี่ปุ่น เปิดตัว Gen IV Mdular UPS ใหม่ ช่วยขยายพอร์ต Critical Pwer และตอบโจทย์ลูกค้าที่ต้องการระบบขยายตามโหลดจริง,บวก,"นวัตกรรม UPS ใหม่ช่วยขยายพอร์ต Critical Pwer, ตอบโจทย์ลูกค้าภาค Data Center และอุตสาหกรรม ลดการพึ่งพาผลิตภัณฑ์เดิม เสริมความแข็งแกร่งการแข่งขัน"
TEGH,TEGH รายงานผลประกอบการปี 67 กำไรสุทธิ 145 ล้านบาท ลดลง 5% YY,,TEGH รายงานกำไรสุทธิปี 2567 อยู่ที่ 145 ล้านบาท ลดลง 5% YY แม้ว่ารายได้จะโต 10% YY แต่ต้นทุนวัตถุดิบ UPS และอัตราแลกเปลี่ยนที่สูงขึ้น บีบ Grss Margin ทำให้กำไรสุทธิไม่เป็นไปตามคาด,ลบ,รายได้โต +10% แต่ต้นทุนวัตถุดิบและค่าเงินบาทผันผวนกดดัน Grss Margin ทำให้กำไรสุทธิลดลง จึงประเมิน Sentiment ในระยะสั้นเป็นกลางถึงลบ
TEGH,TEGH ได้งานติดตั้งระบบไฟสำรอง 50 ชุด ให้กับโรงพยาบาลเอกชนย่านประตูน้ำ,,TEGH ได้สัญญาติดตั้งระบบไฟสำรอง (UPS) จำนวน 50 ชุด ให้กับโรงพยาบาลเอกชนย่านประตูน้ำ มูลค่าโครงการสูง และมีมาร์จิ้นสูง เนื่องจากเป็นงาน Healthcare,บวก,งาน Healthcare มีมาร์จิ้นสูงและสร้างชื่อเสียงให้ TEGH ในกลุ่มตลาดโรงพยาบาล ช่วยเพิ่ม Backlg และหนุนรายได้ในไตรมาสถัดไป
TEGH,TEGH ลงทุนขยายโรงงานผลิต UPS รองรับยอดสั่งซื้อจากเวียดนาม–สิงคโปร์,,TEGH ประกาศลงทุนขยายกำลังการผลิต UPS ที่โรงงานหลัก เนื่องจากได้รับยอดสั่งซื้อจากลูกค้าในเวียดนามและสิงคโปร์เพิ่มขึ้นตลอดปี,บวก,ขยายกำลังผลิตเพื่อตอบรับออร์เดอร์อาเซียน ช่วยลดความเสี่ยง SupplyChain Cnstraint และแสดงให้เห็นความเชื่อมั่นในศักยภาพสินค้า
TFG,TFG คาดไตรมาส 2/68 รายได้โต 12% รับนโยบายดันส่งออกไก่แปรรูปครบวงจร,,TFG คาดว่าไตรมาส 2/2568 รายได้จะเติบโต 12% YY เนื่องจากการส่งออกไก่แปรรูปครบวงจรไปยังสหรัฐฯ–จีน และสินค้าใหม่ เช่น เบอร์เกอร์ไก่สำเร็จรูป และเนื้อไก่พร้อมปรุง,บวก,ขยายตลาดส่งออกสหรัฐฯ–จีนและสินค้าใหม่หนุนรายได้และกำไรระยะกลาง–ยาว
TFG,TFG จับมือกลุ่มสหกรณ์สัตว์เลี้ยงเกษตรพิจิตร สู่การทำธุรกิจไก่ครบวงจรภาคเหนือ,,TFG ลงนาม MU กับกลุ่มสหกรณ์สัตว์เลี้ยงเกษตรพิจิตร เพื่อร่วมกันทำธุรกิจไก่ครบวงจรภาคเหนือ ช่วยควบคุมต้นทุนวัตถุดิบ สร้างต้นแบบ Farm t Frk และเพิ่มอำนาจต่อรองลูกค้าส่งออก,บวก,MU กับสหกรณ์ช่วยควบคุมต้นทุนวัตถุดิบ ลดการพึ่งพาบุคคลที่สาม และเพิ่มอำนาจต่อรองในตลาดส่งออก
TFG,TFG รายงานผลประกอบการปี 67 กำไรสุทธิ 450 ล้านบาท โต 10%,,TFG รายงานกำไรสุทธิปี 2567 อยู่ที่ 450 ล้านบาท เติบโต 10% YY จากการควบคุมต้นทุนอาหารสัตว์และราคาซื้อไก่แม่พันธุ์ที่ดีขึ้น รวมถึงการขยายตลาดส่งออกทำให้ Grss Margin เพิ่มขึ้น,บวก,กำไรโตตามคาดจากการควบคุมต้นทุนอาหารสัตว์และราคารับซื้อไก่แม่พันธุ์ดีขึ้น ขยายตลาดส่งออกช่วยเพิ่ม Grss Margin
TFG,TFG เปิดตัว “เนื้อไก่พร้อมปรุง” ตอบโจทย์แมคโคร–โลตัส ทดสอบตลาดไตรมาส 3/67,,TFG เปิดตัวผลิตภัณฑ์ “เนื้อไก่พร้อมปรุง” สำหรับจำหน่ายในแมคโครและโลตัส เป็นการทดสอบตลาดในไตรมาส 3/2567 เพื่อดูยอดขายจริง,กลาง,สินค้าใหม่ตอบโจทย์ความสะดวกผู้บริโภคและเข้าถึง Mdern Trade แต่ยังอยู่ในช่วงทดลอง จึงต้องรอดูยอดขายจริงก่อนประเมินผลเชิงบวกเต็มที่
TFG,TFG ขยายกิจการสู่เมียนมา ตั้งเป้ากำลังผลิตเพิ่ม 20% ภายใน 2 ปี,,TFG ประกาศขยายฐานผลิตไปยังเมียนมา ด้วยเป้าหมายเพิ่มกำลังผลิต 20% ภายใน 2 ปี เพื่อรองรับความต้องการในภูมิภาคที่การบริโภคไก่กำลังเติบโต,บวก,ขยายฐานผลิตในเมียนมาเปิดโอกาสรายได้ใหม่ กระจายความเสี่ยงตลาดไปยังภูมิภาคที่การบริโภคไก่เติบโตสูง
TFMAMA,TFMAMA เซ็นสัญญาจัดจำหน่าย “เค้กแมคาเดเมีย” ให้กับกลุ่มโรงแรมหรูในกรุงเทพฯ,,TFMAMA เซ็นสัญญาจัดจำหน่าย “เค้กแมคาเดเมีย” ให้กับกลุ่มโรงแรมหรู 5 ดาว ในกรุงเทพฯ ทำให้แบรนด์ Macadamia Cake เข้าถึงลูกค้ากำลังซื้อสูง และใช้กำลังการผลิตเดิมเต็มศักยภาพ,บวก,เข้าช่องทางโรงแรม 5 ดาวช่วยสร้างแบรนด์ Macadamia Cake ในกลุ่มลูกค้ากำลังซื้อสูง และใช้กำลังการผลิตเดิมได้เต็มประสิทธิภาพ
TFMAMA,TFMAMA ตอกย้ำเชนร้านกาแฟ เปิดสาขาใหม่ 3 แห่งในห้างย่านทองหล่อ,,TFMAMA เปิดสาขา “Mama Café” ใหม่อีก 3 แห่ง ในห้างย่านทองหล่อ เพื่อขยายช่องทางจำหน่ายกาแฟเมล็ดพรีเมียมและเบเกอรี่แมคาเดเมีย ช่วยเพิ่มรายได้ Nnvlatile,บวก,ขยาย “Mama Café” ในโซนทองหล่อซึ่งมีกำลังซื้อสูง ทำให้รายได้ Nnvlatile เติบโตต่อเนื่อง
TFMAMA,TFMAMA รายงานผลประกอบการปี 67 รายได้ 420 ล้านบาท กำไรสุทธิ 36 ล้านบาท,,TFMAMA รายงานรายได้ปี 2567 อยู่ที่ 420 ล้านบาท และมีกำไรสุทธิ 36 ล้านบาท เติบโตจากปี 2566 จากยอดขายแมคาเดเมียดิบและเบเกอรี่ รวมถึงปรับปรุงประสิทธิภาพโรงงาน ทำให้อัตราการใช้กำลังผลิตเพิ่มเป็น 85%,บวก,รายได้โต +5% และกำไร +8% YY จากยอดขายแมคาเดเมียดิบและเบเกอรี่ปรับปรุงประสิทธิภาพโรงงาน ทำให้อัตราการใช้กำลังผลิตสูงขึ้น
TFMAMA,TFMAMA เปิดตัว “คุกกี้แมคาเดเมียช็อกโกแลต” บุกตลาดโซเชียลมีเดีย เตรียมวางขายออนไลน์ทั่วประเทศ,,"TFMAMA เปิดตัว “คุกกี้แมคาเดเมียช็อกโกแลต” เจาะตลาดออนไลน์ แจกฟรี 1,000 กล่องเพื่อสร้างการรับรู้กลุ่มเจน Z ตั้งเป้ายอดขายออนไลน์ 500,000 ชุดใน Q1/2568",บวก,เจาะตลาดออนไลน์–แจกฟรีสร้างการรับรู้กลุ่มเจน Z ช่วยสร้างฐานลูกค้าใหม่และรายได้ Ecmmerce
TFMAMA,TFMAMA ลงนามซื้อสวนแมคาเดเมีย 500 ไร่ ที่จ.เชียงใหม่ รองรับแผนผู้ผลิตพรีเมียม,,TFMAMA ประกาศซื้อสวนแมคาเดเมียเนื้อที่ 500 ไร่ ในจังหวัดเชียงใหม่ เพื่อควบคุมคุณภาพและต้นทุนวัตถุดิบ ลดความผันผวนราคา และเพิ่มโอกาสพัฒนาพันธุ์แมคาเดเมียคุณภาพสูง,บวก,ควบคุมต้นทุนวัตถุดิบและคุณภาพโดยตรง ลดความเสี่ยงราคาผันผวน เพิ่มความยั่งยืนใน Supply Chain
TGE,TGE คาดรมว.คลังไฟเขียวมาตรการส่งเสริมส่งออกอี–คอมเมิร์ซ ดันยอดขายปี 68 โต 20%,,TGE คาดว่าเมื่อกระทรวงการคลังอนุมัติมาตรการส่งเสริมการส่งออกอี–คอมเมิร์ซ จะช่วยลดอุปสรรคการส่งออกออนไลน์ เพิ่มช่องทางดิจิทัล และลดต้นทุนโลจิสติกส์ ทำให้ยอดขายดิจิทัลโต 20% ในปี 2568,บวก,มาตรการรัฐช่วยลดต้นทุนโลจิสติกส์และขยายช่องทางดิจิทัล ส่งผลให้ยอดขายดิจิทัลเติบโตเป็นสองหลัก รองรับการขยายธุรกิจ
TGE,TGE เซ็น MU ร่วมทุนกับพันธมิตรจีน เปิดคลังสินค้าในเซินเจิ้น รองรับขนส่ง–กระจายสินค้า,,TGE ลงนาม MU ร่วมทุนกับพันธมิตรจีน เปิดคลังสินค้าในเซินเจิ้น เพื่อลดต้นทุน Freight Cst ลง 25% ช่วยลด Lead Time และสร้างเครือข่ายโลจิสติกส์อาเซียนให้แข็งแกร่ง ตอบโจทย์ลูกค้า B2B,บวก,คลังสินค้าในจีนช่วยลดต้นทุนขนส่งและระยะเวลาการจัดส่ง สร้างเครือข่ายโลจิสติกส์ที่แข็งแกร่งและเพิ่มความมั่นใจให้ลูกค้า
TGE,"TGE รายงานผลประกอบการปี 67 รายได้ 5,200 ล้านบาท กำไรสุทธิ 280 ล้านบาท",,"TGE รายงานรายได้ปี 2567 อยู่ที่ 5,200 ล้านบาท และมีกำไรสุทธิ 280 ล้านบาท เติบโต YY แม้ Grss Margin จะลดเล็กน้อยจากต้นทุนค่าระวางเรือและค่าแรงที่สูงขึ้น บริษัทระบุว่าจะติดตามการควบคุมต้นทุนในครึ่งปี 2568 อย่างใกล้ชิด",กลาง,รายได้และกำไรยังเติบโต YY แต่ Grss Margin ถูกกดดันจากต้นทุนค่าระวางเรือและค่าแรงที่สูงขึ้น จึงต้องติดตามการควบคุมต้นทุนอย่างใกล้ชิด
TGE,TGE จัดตั้งบริษัทย่อยในสหรัฐฯ “TGE USA Inc.” เดินหน้าเจาะตลาดอะไหล่ยานยนต์,,"TGE ประกาศจัดตั้งบริษัทย่อย “TGE USA Inc.” ในสหรัฐอเมริกา เพื่อรองรับการส่งออกอะไหล่ยานยนต์ ช่วยลดขั้นตอนศุลกากรและภาษีนำเข้า เพิ่มความเชื่อมั่นลูกค้าใหญ่ เช่น Halliburtn, Caterpillar และขยายส่วนแบ่งตลาดสหรัฐฯ",บวก,การตั้งบริษัทในสหรัฐฯ ช่วยลดต้นทุนศุลกากรและภาษีนำเข้า เพิ่มความเชื่อมั่นให้ลูกค้า B2B รายใหญ่ และขยายส่วนแบ่งตลาดในสหรัฐฯ
TGE,TGE ได้รับรางวัล “Exprter f the Year 2023” จากกระทรวงพาณิชย์,,TGE ได้รับรางวัล “Exprter f the Year 2023” จากกระทรวงพาณิชย์ ยืนยันคุณภาพสินค้า สร้างความเชื่อมั่นให้คู่ค้าต่างประเทศ และช่วยต่อยอดตลาดยุโรป–อเมริกาเหนือ,บวก,รางวัลยืนยันคุณภาพสินค้าและศักยภาพการส่งออก ช่วยสร้างความเชื่อมั่นให้คู่ค้าต่างประเทศและเปิดโอกาสขยายตลาดใหม่ในยุโรปและอเมริกาเหนือ
STA,STA Supply ยางยังอยู่ขาลง ด้าน Demand ยังผันผวน แนะนำ “ซื้อเก็งกำไร” ราคาเป้าหมาย 20 บาท,,โบรกฯ ประเมินว่าราคายางในช่วงนี้ยังอยู่ในขาลง แต่คาดว่ากำไรจะเริ่มฟื้นใน Q3/2568 เมื่อเข้าสู่ปลายฤดูกาลเพราะอุปสงค์จะเพิ่มขึ้น จึงแนะนำ “ซื้อเก็งกำไร” ราคาเป้าหมาย 20 บาท,ลบ,ราคายางผันผวนในขาลงกดอัตรากำไร แต่โบรกฯ มองว่ากำไรจะฟื้นเล็กน้อยใน Q3/2568 เมื่อราคายางเข้าสู่ปลายฤดูกาล
STA,STA โชว์ผลงาน Q1/68 พลิกมีกำไร 689 ล้านบาท รับราคายาง–ยอดขายโตต่อเนื่อง มั่นใจไม่รับผลกระทบภาษีสหรัฐฯ,,STA รายงานกำไรสุทธิ Q1/2568 อยู่ที่ 689 ล้านบาท พลิกมีกำไรจากปีก่อนขาดทุน เนื่องจากราคายางเฉลี่ยสูงขึ้น 30% และยอดขายยังเติบโตต่อเนื่อง อีกทั้งไม่คาดว่าจะได้รับผลกระทบจากภาษีสหรัฐฯ,บวก,กำไรพลิกมีกำไรเด่น +688.7 ล้านบาท จากราคายางเฉลี่ยสูงขึ้นและยอดขายเพิ่มต่อเนื่อง ช่วยยืนยันการบริหารสต็อกและต้นทุนที่ดี
STA,STA เร่งเครื่องสู่ Net Zer ลงทุนขยายการติดตั้งโซลาร์เซลล์ เทคโนโลยีประหยัดพลังงาน พร้อมเสริมทัพใช้รถโฟล์คลิฟท์ไฟฟ้าภายในโรงงานทั่วประเทศ,,STA ประกาศลงทุนติดตั้งโซลาร์เซลล์และใช้รถโฟล์คลิฟท์ไฟฟ้าในโรงงานทั่วประเทศ เพื่อลดการใช้พลังงาน และมุ่งสู่เป้า Net Zer,บวก,ติดตั้งโซลาร์เซลล์และใช้รถไฟฟ้าลดต้นทุนพลังงานระยะยาว ตอกย้ำภาพลักษณ์ ESG สะท้อนความยั่งยืน ช่วยดึงดูดนักลงทุนระยะยาว
STA,STA ไตรมาส 2/67 กำไรสุทธิเพิ่มขึ้นเป็น 628.44 ล้านบาท,,STA รายงานกำไรสุทธิ Q2/2567 อยู่ที่ 628.44 ล้านบาท เพิ่มขึ้น 471.3% YY จากราคายางโลกเพิ่มขึ้น 40% และยอดขายยางเพิ่ม 17% YY รวมถึงการควบคุมต้นทุนถุงมืออย่างมีประสิทธิภาพ,บวก,กำไร Q2/2567 เพิ่มขึ้นอย่างมากจากราคายางโลกและยอดขายที่เพิ่ม รวมถึงการควบคุมต้นทุนถุงมือได้ดี
STA,STA ไตรมาส 3/66 ขาดทุนสุทธิ 410.25 ล้านบาท,,STA รายงานขาดทุนสุทธิ Q3/2566 อยู่ที่ 410.25 ล้านบาท เนื่องจากราคายางลดลง 25% YY และต้นทุนถุงมือเพิ่มสูง ส่งผลให้ GPM ลดจาก 12.2% ใน Q2/2566 เหลือ 8.8% ต้องตั้งสำรองเครดิตเพิ่มเติม,ลบ,ราคายางลดลงและต้นทุนถุงมือพุ่ง กดดัน GPM และบังคับให้ตั้งสำรองเครดิต เพิ่มแรงกดดันต่อ Sentiment นักลงทุน
STECN,STECN ปักหมุดรายได้ปี 68 โต 10% ตุนแบ็กล็อก 1.25 แสนล้าน เร่งเครื่องดิจิทัล–กรีนบิลดิ้ง,,"STECN ตั้งเป้ารายได้ปี 2568 เติบโต 10% โดยมี Backlg อยู่ที่ 125,000 ล้านบาท (รัฐ 60% – เอกชน 40%) พร้อมขับเคลื่อนกลยุทธ์ด้าน Digital Cnstructin และ Green Building",บวก,"Backlg 125,000 ล้านบาท หนุนรายได้ระยะ 3–5 ปีข้างหน้า และโฟกัสงาน Data Center/อาคารสีเขียวที่ช่วยหนุน Grss Margin รวมถึงตอบเทรนด์ ESGriented"
STECN,STECN กำไร Q1/68 สุทธิ 345.42 ล้านบาท โต 5.09% จากรายได้เพิ่ม มีกำไรส่วนแบ่งปันผล GULF หนุน,,STECN รายงานกำไรสุทธิ Q1/2568 อยู่ที่ 345.42 ล้านบาท เพิ่มขึ้น 5.09% YY จากรายได้ –เพิ่ม 3.71% YY และมีกำไรปันผลจากหุ้น GULF จำนวน 222 ล้านบาทหนุน กำไรสุทธิเติบโตตามคาด,บวก,รายได้เพิ่มและกำไรปันผลจาก GULF ช่วยหนุน ทำให้กำไรสุทธิเติบโตตามคาด แสดงถึงความสามารถกระจายรายได้สู่ธุรกิจถือหุ้น
STECN,STECN ฟื้นไข้ ตุนแบ็กล็อกแสนล้าน โบรกคาดกำไรพุ่ง 20–30%,,"หลังจากขาดทุนสะสม 2,200 ล้านบาทในปี 2567 STECN ในไตรมาส 1/2568 เริ่มมีกำไร 1,400 ล้านบาท จาก Cre Earnings และ Backlg >100,000 ล้านบาท โบรกฯ คาดกำไรปี 2568 จะพุ่ง 20–30%",บวก,กำไรกลับมาบวกใน Q1/2568 จาก Backlg ที่สูง และงานโรงไฟฟ้า–อาคารสีเขียวที่มี Margin สูง ช่วยยืนยันการฟื้นตัว
STECN,STECN คาดไตรมาส 4/2567 พลิกทำกำไร หลังรับรู้รายได้โรงไฟฟ้า 7 แห่ง แบ็กล็อกทะลุแสนล้าน,,"STECN คาดว่าใน Q4/2567 จะกลับมามีกำไร หลังรับรู้รายได้จากงานโรงไฟฟ้า 7 แห่งมูลค่ารวม 4,000 ล้านบาท และ Backlg >100,000 ล้านบาท ช่วยยืนยันว่าปี 2568 จะฟื้นตัวตามคาด",บวก,กำไรกลับมาบวกใน Q4/2567 จากโครงการโรงไฟฟ้าและ Backlg ที่สูง ช่วยสร้างความเชื่อมั่นว่าปี 2568 จะเติบโตต่อ
STECN,STECN ไตรมาส 3/2566 ขาดทุนสุทธิ 2.2 พันล้านบาท จากต้นทุนโครงการรถไฟฟ้า,,"STECN รายงานขาดทุนสุทธิ Q3/2566 จำนวน 2.2 พันล้านบาท เนื่องจากตั้งสำรองโครงการรถไฟฟ้าสายสีชมพู–สีเหลืองกว่า 1,013 ล้านบาท และขาดทุนจากมูลค่าทรัพย์สินอื่น ๆ",ลบ,ขาดทุนจากการตั้งสำรองโครงการรถไฟฟ้าสายสีชมพู–สีเหลือง และขาดทุนจากมูลค่าทรัพย์สินอื่น ๆ กดดัน Sentiment นักลงทุนระยะสั้น
STGT,STGT คาดแม็กซิมฯ ช่วงไฮซีซันหนุน Q2/68 โตแรง รับส่งออกน้ำมันดีเซลขยายตัว,,STGT ระบุในช่วงไฮซีซันกลางปี 2568 ปริมาณขนส่งน้ำมันดีเซลและปิโตรเคมีจะเพิ่มขึ้น 15–20% YY ตั้งเป้ามาร์จิ้น 8–9% ใน Q2/2568,บวก,ไฮซีซันขนส่งกลางปี 2568 ทำให้ปริมาณขนส่งน้ำมันดีเซล–ปิโตรเคมีเพิ่ม และคาดว่าจะหนุนอัตรากำไรในไตรมาส 2/2568
STGT,STGT เตรียมซื้อรถบรรทุกหนักไฟฟ้า 50 คัน หนุน ESG ชูภาพ “Green Lgistics”,,"STGT ประกาศเตรียมซื้อรถบรรทุกไฟฟ้า 50 คัน ใช้งบลงทุน 500 ล้านบาท เพื่อรองรับการขนส่งเชิง ESG ลด C₂ >20,000 ตัน/ปี ช่วยลด PEX ในระยะกลาง–ยาว",กลาง,ลงทุนรถบรรทุกไฟฟ้าลด C₂ ช่วยลดต้นทุน PEX ระยะกลาง–ยาว และปรับภาพลักษณ์ ESG ให้แข็งแกร่ง
STGT,STGT รายงานผลประกอบการ Q1/68 กำไรสุทธิ 95.6 ล้านบาท โต 12% จากปริมาณขนส่งเพิ่ม,,STGT รายงานกำไรสุทธิ Q1/2568 อยู่ที่ 95.6 ล้านบาท เพิ่มขึ้น 12% YY จากปริมาณขนส่งปิโตรเคมี–ซีเมนต์เพิ่มขึ้น 10% YY และสัญญาใหม่กับ ปั๊มน้ำมัน–โรงงานซีเมนต์,บวก,รายได้ Q1/2568 +8% YY จากปริมาณขนส่งเพิ่ม และสัญญาใหม่หนุนอนาคต ทำให้กำไรเติบโตตามคาด
STGT,"STGT รับงานขนส่ง LNG จากโรงไฟฟ้าส่งออก ไปยังภูมิภาคอาเซียน มูลค่าโครงการ 1,200 ล้านบาท",,"STGT ได้สัญญาขนส่ง LNG ให้กับโรงไฟฟ้าเพื่อนำไปส่งออกภูมิภาคอาเซียน มูลค่ารวม 1,200 ล้านบาท แบ่งงานขนส่งและจัดการโลจิสติกส์ครบวงจร",บวก,งานขนส่ง LNG มีกำไรสูง ช่วยขยายพอร์ตจากน้ำมันดีเซล–ปิโตรเคมีสู่ LNG เพิ่มความหลากหลายและกระจายความเสี่ยง
STGT,STGT ไตรมาส 3/66 กำไรสุทธิ 85.3 ล้านบาท ลดลง 18% YY เหตุต้นทุนค่าขนส่งพุ่ง,,STGT รายงานกำไรสุทธิ Q3/2566 อยู่ที่ 85.3 ล้านบาท ลดลง 18% YY เนื่องจากต้นทุนเชื้อเพลิงและค่าบำรุงรักษาเพิ่มขึ้น 12% QQ กดดัน GPM จาก 15.2% ใน Q3/2565 เหลือ 12.5%,ลบ,ต้นทุนเชื้อเพลิงและค่าบำรุงรักษาเพิ่มขึ้นทำให้ GPM ลดลง แม้ว่าปริมาณขนส่งปิโตรเคมีจะลดเพียงเล็กน้อย แต่ต้นทุนที่สูงขึ้นกดดันกำไร
SUN,SUN ลงทุนตั้งร่วมทุน “ไทยยูเนี่ยน–UFLEX” ขยายไลน์ผลิตบรรจุภัณฑ์อาหารถุงปรุงสำเร็จ มูลค่า 200 ล้านบาท,,SUN ลงทุนตั้งบริษัทร่วมทุนกับไทยยูเนี่ยนและ UFLEX เพื่อขยายไลน์ผลิตบรรจุภัณฑ์ถุงปรุงสำเร็จ มูลค่าโครงการ 200 ล้านบาท เจาะตลาด Fd Service และขยายกลุ่มลูกค้าโรงแรม/ศูนย์อาหาร,บวก,ร่วมทุนขยายสู่ตลาด Fd Service ช่วยสร้าง Valueadded ให้ธุรกิจบรรจุภัณฑ์เดิม และขยายกลุ่มลูกค้าไปยังโรงแรมและศูนย์อาหาร
SUN,SUN รายงานผลประกอบการ Q1/68 กำไรสุทธิ 120.5 ล้านบาท เพิ่มขึ้น 22% จากต้นทุนวัตถุดิบลด,,SUN รายงานกำไรสุทธิ Q1/2568 อยู่ที่ 120.5 ล้านบาท เพิ่มขึ้น 22% YY จากต้นทุนวัตถุบางประเภทลดลง 8% และโรงงานระยอง–นครปฐมใช้กำลังการผลิตเต็มที่,บวก,ต้นทุนวัตถุดิบลดลงและการใช้กำลังการผลิตสูงขึ้น สร้าง Upside ให้กำไรและปรับปรุงอัตรากำไรขั้นต้น
SUN,SUN จ่ายปันผลครึ่งปีหลัง 2567 หุ้นละ 0.45 บาท กำหนด XD 05/06/2568,,SUN ประกาศจ่ายปันผลครึ่งปีหลัง 2567 จำนวน 0.45 บาทต่อหุ้น (รวมปันผลทั้งปี 0.75 บาท) กำหนด XD วันที่ 5 มิ.ย. 2568,บวก,ปันผลรวม 0.75 บาทต่อหุ้น (>5% Yield) สะท้อนกระแสเงินสดแข็งแกร่ง แม้ต้นทุนผันผวนแต่ยังรักษากำไรและสภาพคล่องได้ดี
SUN,SUN ไตรมาส 3/2567 รายได้พลิกโต 12% YY จากยอดขายถุงพลาสติกเพิ่ม,,SUN รายงานรายได้ Q3/2567 โต 12% YY จากยอดขายถุงพลาสติกในโมเดิร์นเทรด–ร้านอาหารเพิ่มขึ้น 18% YY และต้นทุนเม็ดพลาสติกลดเล็กน้อย ช่วยฟื้น Grss Prfit Margin เป็น 9.5%,กลาง,รายได้และกำไรเติบโต YY จากยอดขายถุงพลาสติกที่เพิ่ม และต้นทุนเม็ดพลาสติกลดเล็กน้อยช่วยฟื้น GPM
SUN,SUN ไตรมาส 3/2566 กำไรสุทธิ 70.2 ล้านบาท ลดลง 15% QQ จากต้นทุนขนส่งพุ่ง,,SUN รายงานกำไรสุทธิ Q3/2566 อยู่ที่ 70.2 ล้านบาท ลดลง 15% QQ เนื่องจากต้นทุนขนส่งและค่าซ่อมบำรุงเครื่องจักรเพิ่ม 10% QQ แม้ยอดขายถุงพลาสติกเพิ่ม 8% QQ แต่ต้นทุน PEX เพิ่มกดดันกำไร,ลบ,ต้นทุนขนส่งและค่าบำรุงรักษาเครื่องจักรเพิ่มขึ้น ทำให้ GPM ลดลง แม้ยอดขายจะเพิ่ม แต่ต้นทุนที่สูงขึ้นกดดันกำไร
TEGH,“TEGH คาดไตรมาส 2/68 โตต่อเนื่อง หนุนงานโครงการขยาย Data Center”,,“TEGH รายงานภาพรวมรายได้ Q1/2568 (ม.ค.–มี.ค. 2568) โต 18% YY จากการรับรู้รายได้งานเก่าค้างจ่าย พร้อมมองว่าใน Q2/2568 จะได้รับอานิสงส์จากโครงการขยาย Data Center ของพันธมิตรกลุ่มธนาคารและสถาบันการเงินรายใหญ่ที่เดินหน้าเซ็นสัญญาใช้บริการระบบไฟสำรอง (UPS) และตู้ควบคุมไฟฟ้า (PDU) มูลค่ารวมกว่า 120 ล้านบาท”,บวก,“การเติบโตของรายได้ตามแผนจากการขยาย Data Center ชี้ถึงดีมานด์เชิงเทคนิคต่อสินค้าไฟฟ้าระบบสำรองเครือข่ายที่ TEGH เป็นผู้เชี่ยวชาญ ส่งผลต่อมูลค่า Backlg เพิ่ม และสร้างเสถียรภาพกำไรระยะกลาง”
